barcode,location,author,title,publisher_code,status
32005,IT,STEPHANE MALLAT,A WAVELET TOUR OF SIGNAL PROCESSING,ELSEVIER,Not for loan
32006,IT,S N SIVANANDAM,INTRODUCTION TO NEURAL NETWORKS USING METLAB 6.0,TATAMCGRAW-HILL,Not for loan
32007,IT,EDWARD R DOUGHERTY,RANDOM PROCESSES FOR IMAGE AND SIGNAL PROCESSING,PRENTCIE-HALLOFINDIA,Not for loan
32008,ME:EST,DAVID W LEWIS,MATRIX THEORY,ALLIEDPUBLISHERLTD,Not for loan
32009,ME:EST,S J SALON,FINITE ELEMENT ANALYSIS OF ELECTRICAL MACHINES,KLUWERACADEMIC,Not for loan
32010,ME:EST,TAKASHI KENJO,STEPPING MOTORS AND THEIR MICROPROCESSOR CONTROLS,CLARENDONPRESSOXFORD,Not for loan
32011,ME:ED,ERONINI UMEZ ERONINI,SYSTEM DYNAMICS AND CONTROL,THOMSONBROOKSCOLE,Not for loan
32012,ME:EST,P C SEN,Principles Of Electric Machines And Power Electronics,WILEY,Available
32013,ME:EST,PEYTON Z PEEBLES Jr,"PROBABILITY, RANDOM VARIABLES AND RANDOM SIGNAL PRINCIPLES",TATAMCGRAW-HILL,Not for loan
32014,ME:EST,M D SINGH,POWER ELECTRONICS,TATAMCGRAW-HILL,Available
32015,ME:EST,VEDAM SUBRAHMANIYAN,Electric Drives,TATAMCGRAW-HILL,Available
32016,ME:EST,ANDREW S TANENBAUM,COMPUTER NETWORKS,PEARSIONEDUCATION,Available
32017,ME:EST,ACHYUT S GODBOLE,COMPUTER COMMUNICATION NETWORKS,TATAMCGRAW-HILL,Not for loan
32018,ME:EST,RICHARD E FAIRLEY,SOFTWARE ENGINEERING CONCEPTS,TATAMCGRAW-HILL,Available
32019,ME:EST,KATSUHIKO OGATA,Modern Control Engineering,PRENTICEHALLOFINDIA,Available
32020,ME:EST,SALIVAHANAN S,DIGITAL SIGNAL PROCESSING,TATAMCGRAW-HILL,Available
32021,ME:EST,ALAN V OPPENHEIM,DISCRETE TIME SIGNAL PROCESSING,PEARSONEDUCATION,Not for loan
32022,ME:EST,PHILIP T KREIN,ELEMENTS OF POWER ELECTRONICS,OXFORDUNIVERCITYPRESS,Available
32023,ME:EST,MUHAMMAD H RASHID,POWER ELECTRONICS HANDBOOK,ACADEMICPRESS,Not for loan
32024,ME:EST,ROBERT W ERICKSON,FUNDAMENTALS OF POWER ELECTRONICS,SPRINGER,Available
32025,ME:EST,V R MOORTHI,POWER ELECTRONICS,OXFORDUNIVERCITYPRESS,Available
32026,ME:EST,KATSUHIKO OGATA,Modern Control Engineering,PEARSONEDUCATION,Available
32027,ME:EST,WILLIAM STALLINGS,Data And Computer Communications,PRENTICEHALLOFINDIA,Not for loan
32028,ME:EST,NED MOHAN,POWER ELECTRONICS,JOHNWILEY&SONS,Available
32029,ME:EST,CYRIL W LANDER,POWER ELECTRONICS,MCGRAW-HILL,Available
32030,ME:EST,RAKOSH DAS  BEGAMUDRE,EXTRA HIGH VOLTAGE A.C. TRANSMISSION ENGINEERING,NEWAGEINTERNATIONAL,Available
32031,ME:EST,V R MOORTHI,POWER ELECTRONICS,OXFORDUNIVERCITYPRESS,Available
32032,ME:STE,A S GUPTA,CALCULUS OF VARIATIONS WITH APPLICATIONS,PRENTICEHALL,Available
32033,ME:EST,ALAN V OPPENHEIM,Digital Signal Processing,PREENTICE-HALLOFINDIAPRIVATELIMITED,Available
32034,ME:EST,MUHAMMAD H RASHID,INTRODUCTION TO PSPICE USING ORCAD,PRENTCIE-HALLOFINDIA,Available
32035,ME:EST,MICHAEL SLATER,MICROPROCESSOR BASED DESIGN,PREENTICE-HALLOFINDIAPRIVATELIMITED,Not for loan
32036,ME:EST,S SALIVAHANAN,DIGITAL SIGNAL APROACESSING,TATAMCGRAW-HILL,Not for loan
32037,ME:EST,M D SINGH,POWER ELECTRONICS,TATAMCGRAW-HILL,Available
32038,ME:EST,JOHN B PEATMAN,DESIGN WITH PIC MICCONTROLLERS,PEARSONEDUCATION,Not for loan
32039,ME:EST,HAMDY A TAHA,Operations Research,PEARSONEDUCATION,Not for loan
32040,ME:EST,D DRIANKOV,AN INTRODUCTION FUZZY CONTROL,NAROSA,Not for loan
